id,type,title,url,slug,word_count,city,service,title_template,h1_count,h2_count,h3_count,featured_media,boilerplate_ratio,similarity,similar_url,problem,severity,notes
3254,post,شركة عقود صيانة تكييف دورية في البديع,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-budaiya/,ac-periodic-maintenance-contracts-budaiya,2196,البديع,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,38,17,0,0.361,,,قالب هيكلي مكرر (Doorway),عالٍ,نفس قالب العنوان «شركة عقود صيانة تكييف دورية في {CITY}» يظهر في 8 مقالاً (تبديل المدينة فقط).
3254,post,شركة عقود صيانة تكييف دورية في البديع,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-budaiya/,ac-periodic-maintenance-contracts-budaiya,2196,البديع,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,38,17,0,0.361,,,أخطاء/عناصر SEO مفقودة,عالٍ,H2 مكررة داخل المقال: «ما الذي يميّز التنفيذ في البديع عن مدينة أخرى؟» ×3؛ «كم تستغرق عقود صيانة تكييف دورية داخل البديع؟» ×2؛ «ماذا أرسل قبل الزيارة؟» ×2؛ «هل تشمل الزيارة قطعاً أو مواد؟» ×2. لا توجد صورة بارزة في ووردبريس (featured_media=0)؛ صورة المحتوى مكررة عبر الموقع.
3253,post,شركة عقود صيانة تكييف دورية في سترة,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-sitra/,ac-periodic-maintenance-contracts-sitra,2236,سترة,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,38,17,0,0.377,,,قالب هيكلي مكرر (Doorway),عالٍ,نفس قالب العنوان «شركة عقود صيانة تكييف دورية في {CITY}» يظهر في 8 مقالاً (تبديل المدينة فقط).
3253,post,شركة عقود صيانة تكييف دورية في سترة,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-sitra/,ac-periodic-maintenance-contracts-sitra,2236,سترة,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,38,17,0,0.377,,,أخطاء/عناصر SEO مفقودة,عالٍ,H2 مكررة داخل المقال: «ماذا أرسل قبل الزيارة؟» ×3؛ «هل تشمل الزيارة قطعاً أو مواد؟» ×2؛ «ما الذي يميّز التنفيذ في سترة عن مدينة أخرى؟» ×2؛ «كم تستغرق عقود صيانة تكييف دورية داخل سترة؟» ×2. لا توجد صورة بارزة في ووردبريس (featured_media=0)؛ صورة المحتوى مكررة عبر الموقع.
3252,post,شركة عقود صيانة تكييف دورية في مدينة عيسى,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-isa-town/,ac-periodic-maintenance-contracts-isa-town,2357,مدينة عيسى,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,38,17,0,0.356,,,قالب هيكلي مكرر (Doorway),عالٍ,نفس قالب العنوان «شركة عقود صيانة تكييف دورية في {CITY}» يظهر في 8 مقالاً (تبديل المدينة فقط).
3252,post,شركة عقود صيانة تكييف دورية في مدينة عيسى,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-isa-town/,ac-periodic-maintenance-contracts-isa-town,2357,مدينة عيسى,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,38,17,0,0.356,,,أخطاء/عناصر SEO مفقودة,عالٍ,H2 مكررة داخل المقال: «ما الذي يميّز التنفيذ في مدينة عيسى عن مدينة أخرى؟» ×3؛ «كم تستغرق عقود صيانة تكييف دورية داخل مدينة عيسى؟» ×2؛ «ماذا أرسل قبل الزيارة؟» ×2؛ «هل تشمل الزيارة قطعاً أو مواد؟» ×2. لا توجد صورة بارزة في ووردبريس (featured_media=0)؛ صورة المحتوى مكررة عبر الموقع.
3251,post,شركة عقود صيانة تكييف دورية في عالي,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-aali/,ac-periodic-maintenance-contracts-aali,2245,عالي,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,39,17,0,0.388,,,قالب هيكلي مكرر (Doorway),عالٍ,نفس قالب العنوان «شركة عقود صيانة تكييف دورية في {CITY}» يظهر في 8 مقالاً (تبديل المدينة فقط).
3251,post,شركة عقود صيانة تكييف دورية في عالي,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-aali/,ac-periodic-maintenance-contracts-aali,2245,عالي,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,39,17,0,0.388,,,أخطاء/عناصر SEO مفقودة,عالٍ,H2 مكررة داخل المقال: «متى تكون الحالة طارئة في عالي؟» ×3؛ «هل تزورون أكثر من مرة؟» ×3؛ «هل يوجد ضمان مكتوب؟» ×2؛ «هل تناسب الشقق والفلل في عالي؟» ×2. لا توجد صورة بارزة في ووردبريس (featured_media=0)؛ صورة المحتوى مكررة عبر الموقع.
3250,post,شركة عقود صيانة تكييف دورية في مدينة حمد,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-hamad-town/,ac-periodic-maintenance-contracts-hamad-town,2266,مدينة حمد,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,37,17,0,0.318,,,قالب هيكلي مكرر (Doorway),عالٍ,نفس قالب العنوان «شركة عقود صيانة تكييف دورية في {CITY}» يظهر في 8 مقالاً (تبديل المدينة فقط).
3250,post,شركة عقود صيانة تكييف دورية في مدينة حمد,https://rukn-eltatawer.com/bh/ac-periodic-maintenance-contracts-hamad-town/,ac-periodic-maintenance-contracts-hamad-town,2266,مدينة حمد,عقود صيانة تكييف دورية في,شركة عقود صيانة تكييف دورية في {CITY},0,37,17,0,0.318,,,أخطاء/عناصر SEO مفقودة,عالٍ,H2 مكررة داخل المقال: «لماذا لا يُثبت السعر من الرسالة؟» ×2؛ «كيف أتواصل؟» ×2؛ «هل تعملون في حي 1 والمركز التجاري؟» ×2؛ «هل تغطون أحياء مدينة حمد مثل حي 1؟» ×2. لا توجد صورة بارزة في ووردبريس (featured_media=0)؛ صورة المحتوى مكررة عبر الموقع.
